year,make,model,n_rows,our_union,tried,other_years_matched
1993,chrysler,fifth-avenue,1,195/70R14 205/70R14 205/65R15,Fifth Avenue | Newyorkerfifthavenue,false
1990,chrysler,grand-voyager,1,195/75R14 205/70R14 205/70R15,Grand Voyager | Voyager,false
1996,chrysler,grand-voyager,1,205/70R15 215/65R16,Grand Voyager | Voyager,false
1997,chrysler,grand-voyager,1,205/70R15 215/65R16,Grand Voyager | Voyager,false
1998,chrysler,grand-voyager,1,205/70R15 215/65R16,Grand Voyager | Voyager,false
1999,chrysler,grand-voyager,1,215/70R15 215/65R16,Grand Voyager | Voyager,false
2016,chrysler,pacifica,1,235/60R18 235/55R19 245/50R20,Pacifica | Pacificahybrid,true
2017,chrysler,pacifica,2,235/55R18 235/50R20 235/65R17,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2019,chrysler,pacifica,2,235/55R18 235/50R20 235/65R17,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2020,chrysler,pacifica,3,235/65R17 235/60R18 245/55R19 245/50R20 245/60R18 235/55R18 235/50R20,Pacifica | Pacificahybrid | Pacifica 3.6H | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2021,chrysler,pacifica,2,235/65R17 235/55R18 235/50R20,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2022,chrysler,pacifica,2,235/65R17 235/55R18 235/50R20,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2023,chrysler,pacifica,2,235/65R17 235/55R18 235/50R20,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2024,chrysler,pacifica,2,235/55R18 235/50R20 235/65R17,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2025,chrysler,pacifica,2,235/55R18 235/50R20 235/65R17,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2026,chrysler,pacifica,2,235/65R17 235/55R18 235/50R20,Pacifica | Pacificahybrid | Pacifica LX/Touring | Pacifica LX/ | Pacifica Limited/Pinnacle,true
2000,chrysler,pt-cruiser,1,195/65R15 205/55R16 205/50R17,PT Cruiser | PTCRUISER,true
1990,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1991,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1992,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1993,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1994,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1995,chrysler,voyager,1,195/75R14 205/70R14 205/70R15,Voyager | Grandvoyager,false
1996,chrysler,voyager,1,205/70R15 215/65R16,Voyager | Grandvoyager,false
1997,chrysler,voyager,1,205/70R15 215/65R16,Voyager | Grandvoyager,false
1998,chrysler,voyager,1,205/70R15 215/65R16,Voyager | Grandvoyager,false
1999,chrysler,voyager,1,205/70R15 215/65R16,Voyager | Grandvoyager,false
2006,dodge,caliber,1,205/65R15 215/60R17 225/50R18,Caliber,true
2024,dodge,challenger,9,245/45R20 275/40R20 305/35R20 215/65R17 235/55R18 245/45R18,Challenger | Challengersrt | Challenger GT | Challenger R/T | Challenger R/T Scat Pack | Challenger R/T Scat Pack Widebody | Challenger SRT Demon 170 | Challenger SRT | Challenger SRT Hellcat | Challenger SRT Hellcat Widebody | Challenger SXT,true
2005,dodge,charger,1,215/65R17 225/60R18,Charger | Chargersrt | Charger Daytona,true
2012,dodge,dart,1,195/65R15 225/45R17 225/40R18,Dart,true
2010,dodge,durango,1,265/60R18 265/50R20,Durango | Durango SXT/Crew/R/T,true
2022,dodge,hornet,1,215/60R17 235/50R18 235/45R19 225/55R18 235/40R20,Hornet | Hornet 2.0 Turbo | Hornet 2.0,true
2026,dodge,hornet,1,225/55R17 235/50R18 235/40R20,Hornet,true
2012,dodge,nitro,1,225/75R16 235/65R16 235/65R17 245/50R20,Nitro,true
1994,dodge,ram-van-b1500,1,215/75R15 225/75R15,B1500 | Ram 1500 Van | RAM VAN B1500 | Ramvan | B 1500,true
1994,dodge,ram-van-b2500,1,225/75R15 235/75R15,B2500 | Ram 2500 Van | RAM VAN B2500 | Ramvan | B 2500,true
1994,dodge,ram-van-b3500,1,225/75R16 245/75R16,B3500 | Ram 3500 Van | RAM VAN B3500 | Ramvan | B 3500,true
2015,ferrari,488,1,245/35R20 305/30R20,488 GTB | 488 | 488 Spider | 488 488 GTB/Spider | 488 488,true
2019,ferrari,f8,1,245/35R20 305/30R20,F8 Tributo | F8 Spider | F8 | F 8 Tributo | F 8 Spider | F8 Tributo F8 Tributo/Spider | F8 Tributo F8,true
2020,ferrari,roma,1,255/35R20 285/35R20,Roma | Roma Roma,true
2026,ferrari,roma,1,255/35R20 285/35R20,Roma | Roma Roma,true
2020,ferrari,sf90,1,255/35R20 315/30R20,SF90 Stradale | SF90 Spider | Sf90 | SF 90 Stradale | SF 90 Spider | SF90 Stradale SF90 Stradale/Spider | SF90 Stradale SF90,true
2025,ferrari,sf90,1,255/35R20 315/30R20,SF90 Stradale | SF90 Spider | Sf90 | SF 90 Stradale | SF 90 Spider | SF90 Stradale SF90 Stradale/Spider | SF90 Stradale SF90,true
2026,ferrari,sf90,1,255/35R20 315/30R20,SF90 Stradale | SF90 Spider | Sf90 | SF 90 Stradale | SF 90 Spider | SF90 Stradale SF90 Stradale/Spider | SF90 Stradale SF90,true
2016,fiat,124-spider,1,205/45R17 195/50R16,124 Spider | 124SPIDER | 124,true
2020,fiat,500,1,195/45R16 205/40R17,500 | 500e | 500c | 500 C | 500 E | 500 1.4 MultiAir | 500 1.4,true
2021,fiat,500,1,195/55R16 205/45R17,500 | 500e | 500c | 500 C | 500 E,true
2022,fiat,500,1,195/55R16 205/45R17,500 | 500e | 500c | 500 C | 500 E,true
2023,fiat,500,1,195/55R16 205/45R17,500 | 500e | 500c | 500 C | 500 E,true
2024,fiat,500x,1,215/60R16 215/55R17 215/60R17 215/55R18 225/45R18 225/45R19,500X,true
2025,fiat,500x,1,215/60R16 215/55R17 215/60R17 215/55R18 225/45R18 225/45R19,500X,true
2000,ford,escape,1,225/70R15,Escape | Escapehybrid | Escape XLS/XLT,true
1991,ford,f-250,1,215/85R16 235/85R16,F-250 Super Duty | F-250 | F 250 | F250 | F 250 Superduty | F-250 Super Duty King Ranch | F-250 Super Duty Lariat | F-250 Super Duty XL | F-250 Super Duty XLT | F-250 Super Duty F-250 / F-250 HD 4x2 & 4x4 | F-250 Super Duty F-250 / F-250 HD & | F-250 Super Duty F-250,true
1992,ford,f-250,1,215/85R16 235/85R16,F-250 Super Duty | F-250 | F 250 | F250 | F 250 Superduty | F-250 Super Duty King Ranch | F-250 Super Duty Lariat | F-250 Super Duty XL | F-250 Super Duty XLT | F-250 Super Duty F-250 / F-250 HD 4x2 & 4x4 | F-250 Super Duty F-250 / F-250 HD & | F-250 Super Duty F-250,true
1993,ford,f-250,1,215/85R16 235/85R16,F-250 Super Duty | F-250 | F 250 | F250 | F 250 Superduty | F-250 Super Duty King Ranch | F-250 Super Duty Lariat | F-250 Super Duty XL | F-250 Super Duty XLT | F-250 Super Duty F-250 / F-250 HD 4x2 & 4x4 | F-250 Super Duty F-250 / F-250 HD & | F-250 Super Duty F-250,true
1994,ford,f-250,1,215/85R16 235/85R16,F-250 Super Duty | F-250 | F 250 | F250 | F 250 Superduty | F-250 Super Duty King Ranch | F-250 Super Duty Lariat | F-250 Super Duty XL | F-250 Super Duty XLT | F-250 Super Duty F-250 / F-250 HD 4x2 & 4x4 | F-250 Super Duty F-250 / F-250 HD & | F-250 Super Duty F-250,true
2000,ford,f-450-super-duty,2,225/70R19.5 265/70R17 235/80R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2001,ford,f-450-super-duty,2,235/80R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2002,ford,f-450-super-duty,2,225/70R19.5 265/70R17 235/80R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2003,ford,f-450-super-duty,2,225/70R19.5 265/70R17 235/80R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2004,ford,f-450-super-duty,2,225/70R19.5 265/70R17 235/80R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2005,ford,f-450-super-duty,2,235/80R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2006,ford,f-450-super-duty,2,235/80R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2007,ford,f-450-super-duty,2,225/70R19.5 265/70R17 235/80R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450,false
2008,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2009,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2010,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2011,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2012,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2013,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2014,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2015,ford,f-450-super-duty,3,225/70R19.5 245/75R17 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2016,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2017,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2019,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2020,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2021,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2022,ford,f-450-super-duty,3,225/70R19.5 245/75R17 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2023,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2024,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2025,ford,f-450-super-duty,3,245/75R17 225/70R19.5 265/70R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2026,ford,f-450-super-duty,3,225/70R19.5 265/70R17 245/75R17,F-450 Super Duty | F 450 Super Duty | F450 Super Duty | F 450 | F-450 Super Duty DRW,false
2000,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2001,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2002,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2003,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2004,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2005,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2006,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2007,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2008,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2009,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2010,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2020,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2021,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2022,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2023,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2024,ford,fiesta,1,185/60R15 195/50R16 205/45R17,Fiesta,true
2008,ford,flex,1,235/60R18 255/50R19 265/45R20,Flex,true
2019,ford,focus,1,205/55R16 215/50R17 235/40R18,Focus | Focuselectric,true
2020,ford,focus,1,205/60R16 195/65R16 215/50R17 235/45R17,Focus | Focuselectric | Focus 1.0 EcoBoost | Focus 1.0,true
2021,ford,focus,1,205/55R16 215/50R17 235/40R18,Focus | Focuselectric,true
2022,ford,focus,1,205/55R16 215/50R17 235/40R18,Focus | Focuselectric,true
2023,ford,focus,1,205/60R16 215/50R17 235/40R18 235/45R17,Focus | Focuselectric | Focus 1.0 EcoBoost | Focus 1.0,true
2024,ford,focus,1,205/55R16 215/50R17 235/40R18,Focus | Focuselectric,true
2025,ford,focus,1,205/55R16 215/50R17 235/40R18,Focus | Focuselectric,true
2002,ford,fusion,1,225/50R17 235/45R18 245/40R19,Fusion | Fusionhybrid | Fusionenergi,true
2003,ford,fusion,1,225/50R17 235/45R18 245/40R19,Fusion | Fusionhybrid | Fusionenergi,true
2004,ford,fusion,1,225/50R17 235/45R18 245/40R19,Fusion | Fusionhybrid | Fusionenergi,true
2005,ford,fusion,1,225/50R17 235/45R18 245/40R19,Fusion | Fusionhybrid | Fusionenergi,true
2021,ford,fusion,1,215/60R16 235/50R17 235/45R18 235/40R19,Fusion | Fusionhybrid | Fusionenergi | Fusion 1.5 EcoBoost | Fusion 1.5,true
2021,ford,maverick,1,225/65R17 225/60R18 235/65R17 235/60R18 235/55R19 225/55R19 245/50R19,Maverick | Maverick 2.0 EcoBoost | Maverick 2.0,true
2020,ford,mustang-mach-e,1,245/45R20 245/40R21,Mustang Mach-E | Mustang Mach E | Mache | Mustang Mach-E Extended Range | Mustang Mach-E Extended,true
2012,ford,ranger,6,225/70R15 235/70R15 235/65R15,Ranger | Ranger Lariat | Ranger Raptor | Ranger Tremor | Ranger XL | Ranger XLT | Ranger 2.3i,true
2013,ford,ranger,1,255/70R16 215/70R16 265/65R17 265/60R18,Ranger | Ranger 2.2 TDCi | Ranger 2.2,true
2014,ford,ranger,1,255/70R16 215/70R16 265/65R17 265/60R18,Ranger | Ranger 2.2 TDCi | Ranger 2.2,true
2015,ford,ranger,1,255/70R16 265/65R17 265/60R18,Ranger | Ranger 2.2 TDCi | Ranger 2.2,true
2016,ford,ranger,1,255/70R16 265/65R17 265/60R18,Ranger | Ranger 2.2 TDCi | Ranger 2.2,true
2017,ford,ranger,1,265/65R17 265/60R18 255/70R16,Ranger | Ranger 2.0 TDCi | Ranger 2.0,true
2003,ford,sportka,1,205/55R16,Sportka,false
2004,ford,sportka,1,205/55R16,Sportka,false
2005,ford,sportka,1,205/55R16,Sportka,false
2006,ford,sportka,1,205/55R16,Sportka,false
2007,ford,sportka,1,205/55R16,Sportka,false
2008,ford,sportka,1,205/55R16,Sportka,false
2003,ford,streetka,1,205/55R16,Streetka,false
2004,ford,streetka,1,205/55R16,Streetka,false
2005,ford,streetka,1,205/55R16,Streetka,false
2006,ford,streetka,1,205/55R16,Streetka,false
2020,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2021,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2022,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2023,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2024,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2025,ford,taurus,1,235/55R17 245/45R19 255/40R20,Taurus | Taurussho | Taurusx,true
2018,ford vans,transit-350-hd,3,195/75R16,Transit 350 HD | Transit | Transit 350 | Transit 350 HD (DRW)(C-Type Tires) | Transit 350 HD (DRW)(C-Type | Transit 350 HD XL (DRW)(C-Type Tires) | Transit 350 HD XL | Transit 350 HD XLT (DRW)(C-Type Tires) | Transit 350 HD XLT,false
1998,geo,metro,1,155/80R13 175/70R14,Metro | Geometro,true
1999,geo,metro,1,155/80R13 175/70R14,Metro | Geometro,true
2000,geo,metro,1,155/80R13 175/70R14,Metro | Geometro,true
2001,geo,metro,1,155/80R13 175/70R14,Metro | Geometro,true
1998,geo,prizm,1,185/65R14 185/65R15,Prizm | Geoprizm,true
1999,geo,prizm,1,185/65R14 185/65R15,Prizm | Geoprizm,true
2000,geo,prizm,1,185/65R14 185/65R15,Prizm | Geoprizm,true
2001,geo,prizm,1,185/65R14 185/65R15,Prizm | Geoprizm,true
2002,geo,prizm,1,185/65R14 185/65R15,Prizm | Geoprizm,true
2006,gmc,acadia,1,235/65R17 255/55R20 275/45R21,Acadia | Acadialimited,true
2022,gmc,hummer-ev-suv,1,305/70R18 305/55R22,Hummer EV SUV | Hummerev | Hummerevpickup | Hummer EV SUV Edition 1 | Hummer EV SUV Edition,true
2023,gmc,hummer-ev-suv,3,305/70R18 305/55R22,Hummer EV SUV | Hummerev | Hummerevpickup | Hummer EV SUV EV2X | Hummer EV SUV EV3X | Hummer EV SUV Edition 1 | Hummer EV SUV Edition,true
1990,gmc,sonoma,1,195/75R14 205/75R14 205/75R15 235/75R15,Sonoma | S 15,true
1990,gmc,suburban,1,235/75R15 245/75R15,K1500 Suburban | C1500 Suburban | K2500 Suburban | C2500 Suburban | Suburban | Suburban 1500 | Yukonxl,true
1991,gmc,suburban,1,235/75R15 245/75R15,K1500 Suburban | C1500 Suburban | K2500 Suburban | C2500 Suburban | Suburban | Suburban 1500 | Yukonxl,true
2009,gmc,terrain,1,225/65R17 235/55R19 235/50R20,Terrain,true
2016,honda,clarity,1,235/45R18,Clarity,true
2011,honda,crosstour,1,225/65R17 235/60R18,Crosstour | Accordcrosstour,true
2016,honda,crosstour,1,225/65R17 235/60R18,Crosstour | Accordcrosstour,true
2009,honda,insight,1,175/65R15 195/55R16,Insight,true
2025,honda,prelude,1,195/60R15 205/50R16 215/45R17,Prelude,true
2015,honda,ridgeline,6,245/60R18 275/45R20,Ridgeline | Ridgeline Black Edition | Ridgeline Black | Ridgeline RTL | Ridgeline RTL-E | Ridgeline Sport | Ridgeline TrailSport,true
2016,honda,ridgeline,6,245/60R18 275/45R20,Ridgeline | Ridgeline Black Edition | Ridgeline Black | Ridgeline RTL | Ridgeline RTL-E | Ridgeline Sport | Ridgeline TrailSport,true
2005,hummer,h1,1,37X12.50R17,H1 | AM General|Hummer | AM General|H1 | H 1 Alpha,true
2017,hyundai,kona,1,215/55R17 235/45R18,Kona,true
2000,hyundai,santa-fe,1,215/70R15 225/70R16,Santa FE | Santafesport | Santafexl,true
2007,hyundai,santa-fe-classic,2,195/65R15 235/70R16,Santa FE Classic | Santafe,false
2008,hyundai,santa-fe-classic,2,195/65R15 235/70R16,Santa FE Classic | Santafe,false
2009,hyundai,santa-fe-classic,2,235/70R16 195/65R15,Santa FE Classic | Santafe,false
2010,hyundai,santa-fe-classic,2,235/70R16 195/65R15,Santa FE Classic | Santafe,false
2011,hyundai,santa-fe-classic,2,195/65R15 235/70R16,Santa FE Classic | Santafe,false
2012,hyundai,santa-fe-classic,2,195/65R15 235/70R16,Santa FE Classic | Santafe,false
2004,hyundai,tucson,1,215/65R16 235/55R17,Tucson,true
2011,hyundai,veloster,1,215/45R17 225/40R18,Veloster,true
2006,hyundai,veracruz,1,235/65R17 245/60R18 265/50R20,Veracruz,true
2013,hyundai,veracruz,1,235/65R17 245/60R18 265/50R20,Veracruz,true
2014,hyundai,veracruz,1,235/65R17 245/60R18 265/50R20,Veracruz,true
2015,hyundai,veracruz,1,235/65R17 245/60R18 265/50R20,Veracruz,true
2025,infiniti,q50,5,225/55R17 225/50R18 245/40R19 265/35R19,Q50 | Q50 Luxe | Q50 Pure | Q50 Red Sport 400 | Q50 Red | Q50 Sensory,true
2026,infiniti,q50,5,225/55R17 225/50R18 245/40R19 265/35R19,Q50 | Q50 Luxe | Q50 Pure | Q50 Red Sport 400 | Q50 Red | Q50 Sensory,true
2013,infiniti,q60,1,225/50R18 245/40R19 265/35R19,Q60,true
2016,infiniti,q60,1,245/40R19 255/40R19 255/35R20 275/35R20,Q60 | Q60 2.0t,true
2023,infiniti,q60,1,225/50R18 245/40R19 265/35R19,Q60,true
2013,infiniti,q70,1,245/50R18 265/40R20,Q70,true
2020,infiniti,q70,1,245/50R18 265/40R20,Q70,true
2021,infiniti,q70,1,245/50R18 265/40R20,Q70,true
2008,infiniti,qx50,6,225/60R17 225/55R18,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2009,infiniti,qx50,6,225/60R17 225/55R18,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2010,infiniti,qx50,6,225/60R17 225/55R18,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2011,infiniti,qx50,6,225/60R17 225/55R18,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2012,infiniti,qx50,6,225/60R17 225/55R18,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2013,infiniti,qx50,6,225/60R17 225/55R18 245/45R19 255/40R20 285/30R21,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2026,infiniti,qx50,6,235/55R19 255/45R20,Qx50 | Qx50 Autograph | Qx50 Essential | Qx50 Luxe | Qx50 Pure | Qx50 Sensory,true
2013,infiniti,qx60,5,235/65R18 235/55R20,Qx60 | Qx60 Autograph | Qx60 Luxe | Qx60 Pure | Qx60 Sensory,true
2021,infiniti,qx60,5,235/65R18 235/55R20 255/50R20 255/45R21,Qx60 | Qx60 Autograph | Qx60 Luxe | Qx60 Pure | Qx60 Sensory | Qx60 3.5i,true
2013,infiniti,qx70,1,265/50R20 265/45R21,Qx70,true
2004,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2005,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2006,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2007,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2008,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2009,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2010,infiniti,qx80,4,265/70R18 275/60R20,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2011,infiniti,qx80,4,275/60R20 275/50R22,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2012,infiniti,qx80,4,275/60R20 275/50R22,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2013,infiniti,qx80,4,275/60R20 275/50R22 305/45R22,Qx80 | Qx80 Luxe | Qx80 Premium Select | Qx80 Premium | Qx80 Sensory,true
2017,jaguar,e-pace,1,225/65R17 235/60R18 245/45R20 235/55R19 245/45R21 235/65R17,E-PACE | E Pace | EPACE | E-PACE P250,true
2025,jaguar,e-pace,1,235/60R18 235/55R19 245/45R20 225/65R17 245/45R21 235/65R17,E-PACE | E Pace | EPACE,true
2015,jaguar,f-pace,1,255/55R18 255/50R19 265/45R20,F-PACE | F Pace | FPACE,true
2016,jaguar,f-pace,1,255/55R18 255/50R19 265/45R20,F-PACE | F Pace | FPACE,true
2012,jaguar,f-type,4,245/45R18 275/40R18 245/40R19 275/35R19 255/35R20 295/30R20,F-TYPE | F Type | FTYPE | F-TYPE S | F-TYPE V8 S | F-TYPE V8 | F-TYPE 3.0,true
2013,jaguar,f-type,4,245/45R18 275/40R18 245/40R19 275/35R19 255/35R20 295/30R20,F-TYPE | F Type | FTYPE | F-TYPE S | F-TYPE V8 S | F-TYPE V8,true
2025,jaguar,f-type,1,255/40R19 255/35R20,F-TYPE | F Type | FTYPE,true
2021,jaguar,i-pace,1,235/65R18 245/50R20 255/40R22 235/60R19,I-PACE | I Pace | IPACE | I-PACE EV400,true
2025,jaguar,i-pace,1,245/50R20 265/40R22,I-PACE | I Pace | IPACE,true
2001,jaguar,x-type,1,205/55R16,X-TYPE | X Type | XTYPE,true
2009,jaguar,x-type,1,205/55R16,X-TYPE | X Type | XTYPE,true
2015,jaguar,xe,5,225/45R18 235/40R19,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2016,jaguar,xe,5,225/45R18 235/40R19,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2021,jaguar,xe,5,245/40R18 255/35R19 265/30R20,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2022,jaguar,xe,5,245/40R18 255/35R19 265/30R20,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2023,jaguar,xe,5,245/40R18 255/35R19,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2024,jaguar,xe,5,245/40R18 255/35R19 265/30R20,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2025,jaguar,xe,5,245/40R18 255/35R19 265/30R20,XE | XE Premium | XE Prestige | XE R-Dynamic | XE S,true
2007,jaguar,xf,1,225/55R17 255/45R18 275/35R20,XF,true
2008,jaguar,xf,1,225/55R17 255/45R18 275/35R20,XF,true
2025,jaguar,xf,5,225/55R17 245/45R18 255/40R19 275/35R20 245/40R19 255/35R20 285/30R20,XF | XF Premium | XF Prestige | XF R-Dynamic | XF S,true
2010,jaguar,xj,9,245/40R20 275/35R20 245/45R19 275/40R19 245/50R18,XJ8 | XJ | XJR | XJ6 | XJ 6 | XJ 8 | XJ AWD | XJ Portfolio | XJ Supercharged | XJ Supersport | XJ XJ | XJ XJL | XJ XJR,true
